Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV,,Cond,,Conc B,,Run Log,,Fraction,,"UV_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Logbook,ml,Fraction,ml,mAU
0.07578,5.646394,0.15156,50.772827,0.757722,0,,,,,0.07578,2.748748
0.076862,5.643469,0.153725,50.778751,0.768547,0,,,,,0.076862,2.748749
0.077945,5.640789,0.15589,50.784424,0.779371,0,,,,,0.077945,2.748751
0.079028,5.637929,0.158055,50.789814,0.790196,0,,,,,0.079028,2.748752
0.08011,5.635385,0.16022,50.795124,0.80102,0,,,,,0.08011,2.748754
0.081193,5.633115,0.162386,50.800369,0.811845,0,,,,,0.081193,2.748755
0.082275,5.629977,0.164551,50.805519,0.82267,0,,,,,0.082275,2.748757
0.083358,5.627132,0.166716,50.810574,0.833494,0,,,,,0.083358,2.748759
0.08444,5.624638,0.168881,50.815422,0.844319,0,,,,,0.08444,2.74876
0.085523,5.622442,0.171046,50.820179,0.855143,0,,,,,0.085523,2.748762
0.086606,5.619996,0.173211,50.824806,0.865968,0,,,,,0.086606,2.748763
0.087688,5.61711,0.175376,50.828934,0.876793,0,,,,,0.087688,2.748765
0.088771,5.614924,0.177541,50.833115,0.887617,0,,,,,0.088771,2.748766
0.089853,5.612804,0.179707,50.837292,0.898442,0,,,,,0.089853,2.748768
0.090936,5.610554,0.181872,50.841148,0.909266,0,,,,,0.090936,2.74877
0.092018,5.608935,0.184037,50.844791,0.920091,0,,,,,0.092018,2.748771
0.093101,5.607576,0.186202,50.848263,0.930916,0,,,,,0.093101,2.748773
0.094184,5.606459,0.188367,50.85194,0.94174,0,,,,,0.094184,2.748775
0.095266,5.605651,0.190532,50.855637,0.952565,0,,,,,0.095266,2.748776
0.096349,5.604911,0.192697,50.859352,0.963389,0,,,,,0.096349,2.748778
0.097431,5.603832,0.194863,50.862713,0.974214,0,,,,,0.097431,2.748779
0.098514,5.603377,0.197028,50.865902,0.985039,0,,,,,0.098514,2.74878
0.099596,5.603273,0.199193,50.86887,0.995863,0,,,,,0.099596,2.748782
0.100679,5.602885,0.201358,50.871731,1.006688,0,,,,,0.100679,2.748783
0.101762,5.602491,0.203523,50.87455,1.017512,0,,,,,0.101762,2.748784
0.102844,5.602102,0.205688,50.877327,1.028337,0,,,,,0.102844,2.748785
0.103927,5.602395,0.207853,50.879616,1.039162,0,,,,,0.103927,2.748787
0.105009,5.603095,0.210019,50.881649,1.049986,0,,,,,0.105009,2.748788
0.106092,5.604233,0.212184,50.883316,1.060811,0,,,,,0.106092,2.748789
0.107174,5.605248,0.214349,50.88483,1.071635,0,,,,,0.107174,2.748791
0.108257,5.606115,0.216514,50.886345,1.08246,0,,,,,0.108257,2.748792
0.10934,5.606778,0.218679,50.888168,1.093285,0,,,,,0.10934,2.748793
0.110422,5.608285,0.220844,50.889965,1.104109,0,,,,,0.110422,2.748795
0.111505,5.610006,0.223009,50.891747,1.114934,0,,,,,0.111505,2.748797
0.112587,5.611894,0.225175,50.89352,1.125758,0,,,,,0.112587,2.748799
0.11367,5.614301,0.22734,50.895409,1.136583,0,,,,,0.11367,2.748801
0.114752,5.616917,0.229505,50.897388,1.147408,0,,,,,0.114752,2.748802
0.115835,5.619737,0.23167,50.899128,1.158232,0,,,,,0.115835,2.748804
0.116918,5.621812,0.233835,50.900917,1.169057,0,,,,,0.116918,2.748806
0.118,5.623644,0.236,50.902767,1.179881,0,,,,,0.118,2.748808
0.119083,5.625744,0.238165,50.904137,1.190706,0,,,,,0.119083,2.748809
0.120165,5.627887,0.240331,50.905556,1.201531,0,,,,,0.120165,2.748811
0.121248,5.630096,0.242496,50.907124,1.212355,0,,,,,0.121248,2.748812
0.12233,5.633112,0.244661,50.90873,1.22318,0,,,,,0.12233,2.748813
0.123413,5.63591,0.246826,50.910278,1.234004,0,,,,,0.123413,2.748815
0.124496,5.638495,0.248991,50.911671,1.244829,0,,,,,0.124496,2.748816
0.125578,5.641692,0.251156,50.912689,1.255654,0,,,,,0.125578,2.748817
0.126661,5.644492,0.253321,50.913609,1.266478,0,,,,,0.126661,2.748819
0.127743,5.646751,0.255487,50.914547,1.277303,0,,,,,0.127743,2.74882
0.128826,5.649811,0.257652,50.915405,1.288127,0,,,,,0.128826,2.748821
0.129908,5.653039,0.259817,50.916237,1.298952,0,,,,,0.129908,2.748823
0.130991,5.65641,0.261982,50.917164,1.309777,0,,,,,0.130991,2.748825
