Run Name,BCD348/532DEDDL,gf1+2,2014/11/19
Run Date,01:59:44 PM   11-19-14
Method Name,GF.3_0.35
Export Format Version, 1.00
Method ID, 4405
Points/Second, 5.00
Number of Records,  18055
Offset from Run Start Time,00:00:00
Run End Time,01:00:12
Time,Second
UV,AU,
Trace 2,<Not Selected>
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Selected>
Time,UV
    58.4,0.175888
    58.6,0.175815
    58.8,0.175749
    59.0,0.175689
    59.2,0.175631
    59.4,0.175575
    59.6,0.175509
    59.8,0.175435
    60.0,0.175361
    60.2,0.175293
    60.4,0.175225
    60.6,0.175161
    60.8,0.175092
    61.0,0.175025
    61.2,0.174954
    61.4,0.174890
    61.6,0.174823
    61.8,0.174750
    62.0,0.174685
    62.2,0.174618
    62.4,0.174547
    62.6,0.174481
    62.8,0.174417
    63.0,0.174351
    63.2,0.174269
    63.4,0.174191
    63.6,0.174118
    63.8,0.174040
    64.0,0.173963
    64.2,0.173890
    64.4,0.173816
    64.6,0.173747
    64.8,0.173672
    65.0,0.173591
    65.2,0.173509
    65.4,0.173434
    65.6,0.173370
    65.8,0.173302
    66.0,0.173228
    66.2,0.173167
    66.4,0.173109
    66.6,0.173045
    66.8,0.172981
    67.0,0.172914
    67.2,0.172844
    67.4,0.172777
    67.6,0.172715
    67.8,0.172649
    68.0,0.172573
    68.2,0.172501
    68.4,0.172435
    68.6,0.172360
    68.8,0.172272
    69.0,0.172191
    69.2,0.172110
    69.4,0.172022
    69.6,0.171938
    69.8,0.171857
    70.0,0.171761
    70.2,0.171659
    70.4,0.171572
    70.6,0.171486
    70.8,0.171398
    71.0,0.171320
    71.2,0.171244
    71.4,0.171156
    71.6,0.171067
    71.8,0.170990
    72.0,0.170912
    72.2,0.170834
    72.4,0.170765
    72.6,0.170707
    72.8,0.170649
    73.0,0.170568
    73.2,0.170485
    73.4,0.170398
    73.6,0.170312
    73.8,0.170239
    74.0,0.170156
    74.2,0.170074
    74.4,0.169993
    74.6,0.169900
    74.8,0.169804
    75.0,0.169703
    75.2,0.169597
    75.4,0.169513
    75.6,0.169422
    75.8,0.169338
    76.0,0.169249
    76.2,0.169163
    76.4,0.169075
    76.6,0.168979
    76.8,0.168889
    77.0,0.168812
    77.2,0.168739
    77.4,0.168663
    77.6,0.168563
    77.8,0.168463
    78.0,0.168370
    78.2,0.168267
    78.4,0.168174
    78.6,0.168084
    78.8,0.168004
    79.0,0.167915
    79.2,0.167820
    79.4,0.167718
    79.6,0.167612
    79.8,0.167511
    80.0,0.167438
    80.2,0.167360
    80.4,0.167274
    80.6,0.167186
    80.8,0.167093
    81.0,0.167002
    81.2,0.166917
    81.4,0.166843
    81.6,0.166772
    81.8,0.166698
    82.0,0.166619
    82.2,0.166521
    82.4,0.166420
    82.6,0.166327
    82.8,0.166237
    83.0,0.166147
    83.2,0.166054
    83.4,0.165955
    83.6,0.165845
    83.8,0.165740
    84.0,0.165634
    84.2,0.165522
    84.4,0.165418
    84.6,0.165330
    84.8,0.165244
    85.0,0.165144
    85.2,0.165036
    85.4,0.164939
    85.6,0.164857
    85.8,0.164767
    86.0,0.164678
    86.2,0.164587
    86.4,0.164496
    86.6,0.164412
    86.8,0.164320
    87.0,0.164225
    87.2,0.164123
    87.4,0.164033
    87.6,0.163947
    87.8,0.163849
    88.0,0.163741
    88.2,0.163632
    88.4,0.163522
    88.6,0.163416
    88.8,0.163312
    89.0,0.163201
    89.2,0.163093
    89.4,0.162985
    89.6,0.162879
    89.8,0.162771
    90.0,0.162665
    90.2,0.162561
    90.4,0.162456
    90.6,0.162352
    90.8,0.162259
    91.0,0.162161
    91.2,0.162067
    91.4,0.161979
    91.6,0.161885
    91.8,0.161784
    92.0,0.161691
    92.2,0.161591
    92.4,0.161489
    92.6,0.161386
    92.8,0.161291
    93.0,0.161201
    93.2,0.161106
    93.4,0.161004
    93.6,0.160895
    93.8,0.160786
    94.0,0.160680
    94.2,0.160579
    94.4,0.160472
    94.6,0.160362
    94.8,0.160257
    95.0,0.160154
    95.2,0.160052
    95.4,0.159945
    95.6,0.159821
    95.8,0.159708
    96.0,0.159601
    96.2,0.159504
    96.4,0.159414
    96.6,0.159317
    96.8,0.159214
    97.0,0.159110
    97.2,0.159004
    97.4,0.158906
    97.6,0.158801
    97.8,0.158699
    98.0,0.158604
    98.2,0.158497
    98.4,0.158382
    98.6,0.158268
    98.8,0.158152
    99.0,0.158039
    99.2,0.157935
    99.4,0.157826
    99.6,0.157720
    99.8,0.157604
   100.0,0.157492
   100.2,0.157381
   100.4,0.157278
   100.6,0.157176
   100.8,0.157069
   101.0,0.156959
   101.2,0.156850
   101.4,0.156746
   101.6,0.156629
   101.8,0.156522
   102.0,0.156411
   102.2,0.156294
   102.4,0.156178
   102.6,0.156070
   102.8,0.155971
   103.0,0.155867
   103.2,0.155765
   103.4,0.155661
   103.6,0.155557
   103.8,0.155441
   104.0,0.155337
   104.2,0.155230
   104.4,0.155133
   104.6,0.155041
   104.8,0.154952
   105.0,0.154847
   105.2,0.154730
   105.4,0.154614
   105.6,0.154510
   105.8,0.154401
   106.0,0.154283
   106.2,0.154177
   106.4,0.154077
   106.6,0.153984
   106.8,0.153868
   107.0,0.153745
   107.2,0.153617
   107.4,0.153496
   107.6,0.153391
   107.8,0.153288
   108.0,0.153178
   108.2,0.153071
   108.4,0.152973
   108.6,0.152873
   108.8,0.152766
   109.0,0.152652
   109.2,0.152547
   109.4,0.152449
   109.6,0.152337
   109.8,0.152228
   110.0,0.152107
   110.2,0.151990
   110.4,0.151877
   110.6,0.151755
   110.8,0.151628
   111.0,0.151501
   111.2,0.151374
   111.4,0.151248
   111.6,0.151124
   111.8,0.151003
   112.0,0.150888
   112.2,0.150772
   112.4,0.150657
   112.6,0.150537
   112.8,0.150419
   113.0,0.150314
   113.2,0.150197
   113.4,0.150073
   113.6,0.149949
   113.8,0.149831
   114.0,0.149721
   114.2,0.149616
   114.4,0.149521
   114.6,0.149410
   114.8,0.149294
   115.0,0.149181
   115.2,0.149067
   115.4,0.148938
   115.6,0.148830
   115.8,0.148725
   116.0,0.148619
   116.2,0.148515
   116.4,0.148403
   116.6,0.148293
   116.8,0.148167
   117.0,0.148059
   117.2,0.147952
   117.4,0.147844
   117.6,0.147734
   117.8,0.147636
   118.0,0.147527
   118.2,0.147411
   118.4,0.147297
   118.6,0.147179
   118.8,0.147070
   119.0,0.146954
   119.2,0.146849
   119.4,0.146743
   119.6,0.146635
   119.8,0.146522
   120.0,0.146399
   120.2,0.146269
   120.4,0.146145
   120.6,0.146024
   120.8,0.145901
   121.0,0.145777
   121.2,0.145660
   121.4,0.145535
   121.6,0.145398
   121.8,0.145259
   122.0,0.145127
   122.2,0.145001
   122.4,0.144882
   122.6,0.144764
   122.8,0.144641
   123.0,0.144530
   123.2,0.144424
   123.4,0.144319
   123.6,0.144202
   123.8,0.144080
   124.0,0.143961
   124.2,0.143848
   124.4,0.143735
   124.6,0.143625
   124.8,0.143516
   125.0,0.143404
   125.2,0.143302
   125.4,0.143190
   125.6,0.143055
   125.8,0.142919
   126.0,0.142786
   126.2,0.142670
   126.4,0.142567
   126.6,0.142457
   126.8,0.142337
   127.0,0.142225
   127.2,0.142099
   127.4,0.141980
   127.6,0.141861
   127.8,0.141750
   128.0,0.141644
   128.2,0.141546
   128.4,0.141448
   128.6,0.141334
   128.8,0.141202
   129.0,0.141071
   129.2,0.140944
   129.4,0.140812
   129.6,0.140693
   129.8,0.140577
   130.0,0.140453
   130.2,0.140321
   130.4,0.140204
   130.6,0.140079
   130.8,0.139948
   131.0,0.139825
   131.2,0.139707
   131.4,0.139595
   131.6,0.139487
   131.8,0.139367
   132.0,0.139247
   132.2,0.139127
   132.4,0.139008
   132.6,0.138892
   132.8,0.138769
   133.0,0.138639
   133.2,0.138503
   133.4,0.138376
   133.6,0.138263
   133.8,0.138155
   134.0,0.138042
   134.2,0.137931
   134.4,0.137807
   134.6,0.137672
   134.8,0.137543
   135.0,0.137421
   135.2,0.137298
   135.4,0.137177
   135.6,0.137070
   135.8,0.136947
   136.0,0.136814
   136.2,0.136672
   136.4,0.136537
   136.6,0.136421
   136.8,0.136318
   137.0,0.136210
   137.2,0.136103
   137.4,0.135999
   137.6,0.135884
   137.8,0.135767
   138.0,0.135651
   138.2,0.135542
   138.4,0.135423
   138.6,0.135299
   138.8,0.135179
   139.0,0.135057
   139.2,0.134928
   139.4,0.134805
   139.6,0.134679
   139.8,0.134538
   140.0,0.134417
   140.2,0.134314
   140.4,0.134201
   140.6,0.134081
   140.8,0.133970
   141.0,0.133853
   141.2,0.133724
   141.4,0.133588
   141.6,0.133459
   141.8,0.133341
   142.0,0.133225
   142.2,0.133109
   142.4,0.132982
   142.6,0.132846
   142.8,0.132715
   143.0,0.132599
   143.2,0.132480
   143.4,0.132370
   143.6,0.132257
   143.8,0.132146
   144.0,0.132034
   144.2,0.131920
   144.4,0.131786
   144.6,0.131656
   144.8,0.131539
   145.0,0.131412
   145.2,0.131287
   145.4,0.131163
   145.6,0.131046
   145.8,0.130929
   146.0,0.130817
   146.2,0.130696
   146.4,0.130574
   146.6,0.130442
   146.8,0.130326
   147.0,0.130214
   147.2,0.130089
   147.4,0.129964
   147.6,0.129845
   147.8,0.129720
   148.0,0.129586
   148.2,0.129455
   148.4,0.129328
   148.6,0.129197
   148.8,0.129066
   149.0,0.128945
   149.2,0.128818
   149.4,0.128694
   149.6,0.128574
   149.8,0.128460
   150.0,0.128346
   150.2,0.128220
   150.4,0.128092
   150.6,0.127966
   150.8,0.127839
   151.0,0.127721
   151.2,0.127596
   151.4,0.127461
   151.6,0.127333
   151.8,0.127215
   152.0,0.127094
   152.2,0.126967
   152.4,0.126842
   152.6,0.126725
   152.8,0.126611
   153.0,0.126488
   153.2,0.126357
   153.4,0.126234
   153.6,0.126116
   153.8,0.126001
   154.0,0.125886
   154.2,0.125763
   154.4,0.125643
   154.6,0.125536
   154.8,0.125424
   155.0,0.125302
   155.2,0.125180
   155.4,0.125071
   155.6,0.124968
   155.8,0.124866
   156.0,0.124766
   156.2,0.124653
   156.4,0.124540
   156.6,0.124418
   156.8,0.124302
   157.0,0.124177
   157.2,0.124048
   157.4,0.123925
   157.6,0.123800
   157.8,0.123681
   158.0,0.123556
   158.2,0.123423
   158.4,0.123278
   158.6,0.123153
   158.8,0.123028
   159.0,0.122909
   159.2,0.122775
   159.4,0.122647
   159.6,0.122527
   159.8,0.122414
   160.0,0.122292
   160.2,0.122159
   160.4,0.122038
   160.6,0.121926
   160.8,0.121820
   161.0,0.121706
   161.2,0.121582
   161.4,0.121459
   161.6,0.121346
   161.8,0.121228
   162.0,0.121099
   162.2,0.120973
   162.4,0.120856
   162.6,0.120742
   162.8,0.120622
   163.0,0.120503
   163.2,0.120385
   163.4,0.120272
   163.6,0.120160
   163.8,0.120040
   164.0,0.119920
   164.2,0.119788
   164.4,0.119663
   164.6,0.119544
   164.8,0.119430
   165.0,0.119317
   165.2,0.119200
   165.4,0.119069
   165.6,0.118933
   165.8,0.118804
   166.0,0.118681
   166.2,0.118551
   166.4,0.118423
