STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-01,0,12,1,-21.7,25,28,7.1,10,2022.6,27,103,-3.1,1.5,-7.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-02,0,21,3,-21.7,305,267,26.7,17.2,2676,94.4,529,-7,-1.7,-12.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-03,0,22,6,-20.6,508,152,15.2,8.3,3369.6,68.5,363,-4,0.9,-9
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-04,0.6,1,1,-5.6,51,51,10.7,27.2,3638.3,36.5,51,8.8,14.7,2.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-05,27.3,,,-1.7,,,53.3,30.6,3748,124.7,,15.7,22.3,9
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-06,71.2,,,7.2,,,29.5,32.2,3769.7,58.5,,19.1,25.8,12.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-07,197,,,8.3,,,26.7,35.6,4.8,74,,22.2,29,15.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-08,376.8,,,11.1,,,11.4,36.7,4.8,51.8,,24.1,31.1,17.2
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-09,457.4,,,2.2,,,14.5,34.4,49.2,28,,19.5,27.1,12
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-10,478.7,,,-3.3,,,31.2,31.7,174.7,56.6,,15,21.9,8.1
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-11,478.7,7,3,-9.4,51,51,22.4,18.9,631.5,94.9,155,3.1,7.2,-1
USC00200230,"ANN ARBOR U OF MICH, MI US",1900-12,478.7,0,1,-15,0,25,4.8,12.2,1247.6,11,56,-1.5,2.3,-5.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-01,0,22,3,-21.7,127,81,10.2,8.9,1912,37,257,-4.5,-0.2,-8.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-02,0,28,5,-20,432,279,24.9,0.6,2685.1,56.5,595,-9.3,-5,-13.6
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-03,0,11,1,-18.3,203,64,13.7,21.1,3263.6,44.4,144,-0.3,5.6,-6.2
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-04,2.8,,,-3.3,,,16.3,28.9,3561.5,34.8,,8.5,14.5,2.5
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-05,5,,,1.1,,,10.7,29.4,3701,44.1,,13.9,20.1,7.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-06,112.5,,,2.8,,,22.6,35,3741.3,51.1,,20.6,27.5,13.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-07,314.3,,,10.6,,,26.9,36.1,1.1,85.1,,24.8,31.8,17.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-08,436.2,,,9.4,,,25.7,34.4,3.3,79.7,,22.2,28.8,15.6
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-09,468.4,,,1.7,,,26.2,33.9,63.1,49.6,,17.4,24.2,10.6
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-10,471.1,,,-3.3,,,45.7,26.1,286.3,64.7,,11.2,18.1,4.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-11,471.1,1,0,-11.1,25,13,15.2,15.6,782.8,32.5,26,1.8,5.7,-2.1
USC00200230,"ANN ARBOR U OF MICH, MI US",1901-12,471.1,23,4,-23.9,102,69,24.9,15,1458.3,77.6,235,-4.8,-0.7,-8.9
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-01,0,25,3,-20,102,64,6.4,5,2186.7,15.2,152,-5.2,-0.9,-9.4
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-02,0,22,4,-21.7,279,127,12.7,12.2,2880,28.2,292,-6.4,-1.2,-11.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-03,0,0,0,-13.3,0,0,9.1,20.6,3329.1,30.6,0,3.9,9.4,-1.7
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-04,2.8,,,-5,,,6.6,28.3,3642.9,19.7,,8,14,1.9
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-05,25.8,,,-0.6,,,18.8,32.2,3776.2,119.9,,14.8,21.6,7.9
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-06,61.8,,,5.6,,,33,30.6,3833.1,191.9,,17.6,23.4,11.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-07,187.8,,,8.3,,,62.2,32.8,4.2,273.9,,22.3,28.1,16.5
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-08,242.8,,,6.7,,,10.2,31.1,24.1,16.1,,19.5,26.2,12.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-09,262,,,2.2,,,39.9,29.4,106.9,162.8,,16.2,22.2,10.2
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-10,262,,,-2.8,,,17.5,23.9,346.5,49.5,,10.6,16.4,4.8
USC00200230,"ANN ARBOR U OF MICH, MI US",1902-11,262,,,-7.8,,,12.7,21.1,678.7,46.5,,7.3,11.8,2.8
