qid,label_en,author_uuid,author,author_series_ordinal,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q111731424,Walking on the Rimbones of Nothingness: Embodied Scholarship for Those of Us Way Down Under the Sun,D5C3D00B-EE62-4602-ACC6-B17BA6B94F45,Q29447340,1,Emilie M. Townes,b292ec0a015d08984b1e04f4967f5f3a11d73784,http://doi.org/10.2307/J.CTT22NM96R.21,a486447e-fdbe-438e-b1e2-b6072af27bde,2022-04-26T00:00:00Z,11
Q111731426,West Semitic Sources,CAF4DCC2-D880-4E1F-A9F1-B863F611603C,Q15379207,1,C. L. Seow,a17b66f44bd6b347801d9085a643a63b6603ec4e,http://doi.org/10.2307/J.CTVKWNNG3.16,01a9f50c-e3ee-426c-a0a9-aeb6a9d079fb,2022-04-26T00:00:00Z,11
Q111731427,"Womanist Pastoral Theology and Black Women's Experience of Gender, Religion, and Sexuality",A05121E4-1043-426F-8195-3EDC2CFDC996,Q83505887,1,Phillis Isabella Sheppard,500f827f4911e3854a5e533dd11fe279ce75c1ff,http://doi.org/10.1002/9781119292586.CH6,e86d2670-feeb-4f8e-9337-03058dabce2a,2022-04-26T00:00:00Z,11
