qid,label_en,author_uuid,author,author_series_ordinal,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q111731395,Liberation in African American Theology,B153B146-F7E3-45A2-A726-B5C7A0F2D688,Q4772041,1,Anthony B. Pinn,ae1d18270784dcce98e9aa540298bc1cd3608ff5,https://doi.org/10.1093/OXFORDHB/9780199755653.013.0014,71bdf255-d9ec-4603-a123-a3782ae462d1,2022-04-26T00:00:00Z,11
Q111731395,Liberation in African American Theology,1AB6EFCA-ECEC-4CDA-AAC7-CD558555C1DC,Q6377445,2,Katie G. Cannon,ae1d18270784dcce98e9aa540298bc1cd3608ff5,https://doi.org/10.1093/OXFORDHB/9780199755653.013.0014,58d877bb-ad31-47ce-8a70-10ac238c64be,2022-04-26T00:00:00Z,11
Q111731405,Planetary Sightings? Negotiating Sexual Differences in Globalization's Shadow,7FE19830-9838-4FE2-9127-B56ADB604E98,Q83432379,1,Ellent T. Armour,58535433d520d17504d0c993876fb65323b18ba8,http://doi.org/10.5422/FSO/9780823233250.003.0013,4fe47b1b-2873-4007-ad59-5b38b3d21e5b,2022-04-26T00:00:00Z,11
