manifest_id,manifest_label,thumbnail_id
https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.1225P.json,Fight World Famine enroll in The Boys' Working Reserve,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.1225P.tif/full/!200,200/0/default.jpg"
https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.1183P.json,Shall we be more tender with our dollars than with the lives of our sons,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.1183P.tif/full/!200,200/0/default.jpg"
https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.1230P.json,"Industrial Division: Help Uncle Sam's Boys, Give your days' pay, November 11 to 18","https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.1230_LARGE.tif/full/!200,200/0/default.jpg"
