School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Elementary School,200,Chadwell Elementary,105,37115,,19,54,60,64,71,76,,,,,,,,,2,5,194,100,,43,176,168,213,46,62,36.25637022,-86.74167109,"(36.25637022, -86.74167109)"
18-19,Elementary School,205,Charlotte Park Elementary,110,37209,4,34,85,96,91,85,72,,,,,,,,,,41,89,233,1,103,250,217,195,62,213,36.15124524,-86.88371355,"(36.15124524, -86.88371355)"
18-19,Elementary School,215,Cockrill Elementary,120,37209,3,37,51,50,62,67,58,,,,,,,,,,5,156,104,,63,166,162,209,50,69,36.15620646,-86.84514493,"(36.15620646, -86.84514493)"
18-19,Elementary School,225,Cole Elementary,130,37013,,78,143,144,124,133,125,,,,,,,,,1,92,77,463,1,113,368,379,386,69,386,36.05833526,-86.69862021,"(36.05833526, -86.69862021)"
18-19,Special Education,448,Cora Howe School,443,37206,,,,,6,1,7,8,3,11,10,9,6,16,20,,1,59,6,,31,80,17,43,96,5,36.18893027,-86.73458329,"(36.18893027, -86.73458329)"
18-19,Middle School,783,Creswell Middle School of the Arts,700,37218,,,,,,,,119,100,88,106,,,,,2,1,351,12,,47,152,261,187,48,4,36.19606322,-86.83753939,"(36.19606322, -86.83753939)"
18-19,Elementary School,235,Crieve Hall Elementary,145,37220,,,102,94,86,105,75,,,,,,,,,2,74,34,108,3,241,229,233,68,40,130,36.06574575,-86.75810305,"(36.06574575, -86.75810305)"
18-19,Middle School,238,Croft Middle,148,37211,,,,,,,,217,196,182,168,,,,,,22,163,361,,217,391,372,276,87,303,36.08747494,-86.73414769,"(36.08747494, -86.73414769)"
18-19,Elementary School,240,Cumberland Elementary,150,37218,,,43,55,51,57,65,,,,,,,,,,1,218,23,3,26,136,135,210,38,12,36.2120691,-86.86656862,"(36.2120691, -86.86656862)"
18-19,Elementary School,560,Dan Mills Elementary,160,37216,1,32,118,100,102,99,92,,,,,,,,,3,8,80,77,1,375,274,270,112,54,40,36.21863826,-86.71708395,"(36.21863826, -86.71708395)"
18-19,Elementary School,252,Dodson Elementary,165,37076,3,27,96,76,84,77,75,,,,,,,,,2,8,258,65,,105,224,214,251,69,60,36.19090848,-86.60331793,"(36.19090848, -86.60331793)"
18-19,Middle School,260,Donelson Middle,175,37214,,,,,,,,205,208,194,169,,,,,2,16,346,152,2,257,392,384,347,128,143,36.16672257,-86.65633623,"(36.16672257, -86.65633623)"
18-19,Elementary School,265,Dupont Elementary,180,37138,,37,65,72,63,76,66,,,,,,,,,2,5,98,38,,236,194,185,190,47,20,36.2613821,-86.65262579,"(36.2613821, -86.65262579)"
18-19,Middle School,270,Dupont-Hadley Middle,190,37138,,,,,,,,157,166,157,173,,,,,2,9,202,78,2,360,355,298,234,105,52,36.24977849,-86.64278911,"(36.24977849, -86.64278911)"
18-19,Middle School,275,Dupont-Tyler Middle,185,37076,,,,,,,,165,123,143,148,,,,,4,14,254,144,1,162,291,288,267,92,137,36.19962251,-86.61259576,"(36.19962251, -86.61259576)"
18-19,Elementary School,278,Eagle View Elementary,115,37013,,38,102,104,88,87,90,,,,,,,,,2,14,274,130,,89,264,245,222,34,164,,,
18-19,Elementary School,280,Eakin Elementary,195,37212,,,115,98,121,113,107,,,,,,,,,1,48,226,31,,248,273,281,113,80,39,36.13514319,-86.80760668,"(36.13514319, -86.80760668)"
18-19,Charter,286,East End Preparatory School,8009,37216,,,113,113,113,115,112,113,110,90,,,,,,1,8,676,129,,65,417,462,463,77,51,36.20699504,-86.71827177,"(36.20699504, -86.71827177)"
18-19,Middle School,296,East Nashville Middle,296,37206,,,,,,,,81,96,101,82,,,,,,2,327,10,1,20,170,190,193,57,11,36.18886165,-86.73324272,"(36.18886165, -86.73324272)"
18-19,High School,290,East Nashville School,203,37206,,,,,,,,,,,,178,188,195,153,1,5,654,19,,35,315,399,254,57,4,36.18062644,-86.75047137,"(36.18062644, -86.75047137)"
18-19,Charter,305,Explore Community School,8060,37206,,,69,79,72,71,,,,,,,,,,1,2,147,15,,126,137,154,123,38,4,36.17436415,-86.75164889,"(36.17436415, -86.75164889)"
18-19,Elementary School,308,Fall-Hamilton Elementary,220,37203,16,40,69,65,53,45,45,,,,,,,,,,5,216,66,,46,179,154,174,58,49,36.13347184,-86.76620628,"(36.13347184, -86.76620628)"
18-19,Elementary School,315,Gateway Elementary,235,37115,,,50,44,39,59,64,,,,,,,,,,5,92,103,1,55,127,129,136,25,81,36.29220888,-86.71066018,"(36.29220888, -86.71066018)"
18-19,Elementary School,320,Glencliff Elementary,240,37211,,35,94,127,109,98,103,,,,,,,,,,18,62,390,1,95,284,282,250,39,309,36.10162585,-86.72309983,"(36.10162585, -86.72309983)"
18-19,High School,325,Glencliff High School,245,37211,,,,,,,,,,,,295,287,315,275,,64,252,642,,214,642,530,496,119,493,36.10140068,-86.72746929,"(36.10140068, -86.72746929)"
18-19,Elementary School,330,Glendale Elementary,250,37204,10,16,94,88,77,76,77,,,,,,,,,1,11,22,36,,368,235,203,14,36,7,36.09593592,-86.78390656,"(36.09593592, -86.78390656)"
18-19,Elementary School,335,Glengarry Elementary,255,37217,,18,79,55,74,66,69,,,,,,,,,,6,59,234,1,61,181,180,190,40,205,36.11038989,-86.70642502,"(36.11038989, -86.70642502)"
18-19,Elementary School,345,Glenview Elementary,265,37217,,60,108,102,117,110,106,,,,,,,,,,4,113,339,1,146,347,256,334,55,367,36.12757047,-86.70636796,"(36.12757047, -86.70636796)"
18-19,Elementary School,350,Goodlettsville Elementary,270,37072,4,31,70,55,61,61,67,,,,,,,,,5,14,118,87,5,120,190,159,135,45,60,36.31293934,-86.71048708,"(36.31293934, -86.71048708)"
18-19,Middle School,355,Goodlettsville Middle,275,37072,,,,,,,,157,164,148,136,,,,,,18,261,178,1,147,304,301,275,86,144,36.31815052,-86.71246409,"(36.31815052, -86.71246409)"
18-19,Elementary School,360,Gower Elementary,280,37209,5,26,114,94,112,127,120,,,,,,,,,1,56,139,66,2,334,323,275,155,103,69,36.11534205,-86.92228685,"(36.11534205, -86.92228685)"
18-19,Middle School,365,Gra-Mar Middle,285,37216,,,,,,,,85,66,86,94,,,,,,4,242,51,,34,179,152,228,59,77,36.2328428,-86.74516052,"(36.2328428, -86.74516052)"
18-19,Elementary School,370,Granbery Elementary,290,37027,,,188,148,135,150,134,,,,,,,,,4,81,113,139,2,416,376,379,131,69,131,36.0467903,-86.753046,"(36.0467903, -86.753046)"
18-19,Middle School,434,H.G. Hill Middle School,295,37205,,,,,,,,196,170,168,157,,,,,3,53,212,147,,276,341,350,255,125,191,36.11637568,-86.86673001,"(36.11637568, -86.86673001)"
18-19,Elementary School,395,Harpeth Valley Elementary,300,37221,3,12,143,149,146,126,128,,,,,,,,,1,49,93,56,6,502,357,350,78,74,40,36.04552596,-86.95804996,"(36.04552596, -86.95804996)"
18-19,Special Education,397,Harris-Hillman Special Education,302,37212,241,141,40,44,46,38,36,26,21,25,18,14,6,10,93,1,34,195,97,1,471,500,299,143,335,26,36.13759485,-86.80760421,"(36.13759485, -86.80760421)"
18-19,Elementary School,230,Hattie Cotton Elementary,140,37206,,20,46,51,49,36,62,,,,,,,,,,2,174,49,,39,141,123,159,42,37,36.19107041,-86.74772151,"(36.19107041, -86.74772151)"
18-19,Middle School,400,Haynes Middle,305,37207,,,,,,,,55,73,61,54,,,,,,,234,1,,8,113,130,157,50,,36.20764018,-86.78911404,"(36.20764018, -86.78911404)"
18-19,Elementary School,405,Haywood Elementary,310,37211,,48,124,132,99,129,144,,,,,,,,,1,110,61,429,,75,362,314,324,49,434,36.07416907,-86.70806917,"(36.07416907, -86.70806917)"
18-19,Middle School,410,Head Middle,315,37203,,,,,,,,171,172,106,117,,,,,1,22,354,36,1,152,303,263,136,40,39,36.15860499,-86.80440551,"(36.15860499, -86.80440551)"
18-19,Elementary School,552,Henry C Maxwell Elementary,318,37013,4,50,95,97,126,116,112,,,,,,,,,1,54,122,253,,170,321,279,229,67,236,36.03083402,-86.67395212,"(36.03083402, -86.67395212)"
18-19,Elementary School,415,Hermitage Elementary,320,37076,4,27,59,53,58,48,55,,,,,,,,,,4,90,64,,146,154,150,120,54,35,36.19799021,-86.63537014,"(36.19799021, -86.63537014)"
18-19,Elementary School,420,Hickman Elementary,327,37214,8,36,83,91,96,87,94,,,,,,,,,1,16,205,80,2,191,264,231,222,85,84,36.16497987,-86.65747884,"(36.16497987, -86.65747884)"
18-19,High School,435,Hillsboro High,335,37215,,,,,,,,,,,,312,304,294,294,2,44,627,73,1,457,622,582,320,191,33,36.10706561,-86.81222916,"(36.10706561, -86.81222916)"
18-19,High School,440,Hillwood High,340,37205,,,,,,,,,,,,268,293,263,283,1,76,377,180,2,471,610,497,373,179,132,36.11880669,-86.8739002,"(36.11880669, -86.8739002)"
18-19,Elementary School,451,Hull-Jackson Elementary,350,37208,74,74,69,64,44,62,59,,,,,,,,,6,10,390,16,,24,217,229,202,34,8,36.19031869,-86.80717823,"(36.19031869, -86.80717823)"
