School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Charter,517,Liberty Collegiate Academy,8005,37216,,,,,,,,103,127,100,103,,,,,,2,158,237,,36,193,240,196,55,191,36.2120627,-86.73292493,"(36.2120627, -86.73292493)"
18-19,Elementary School,520,Lockeland Elementary,435,37206,,,56,61,58,58,59,,,,,,,,,,7,19,7,1,258,152,140,10,24,2,36.17622508,-86.73952049,"(36.17622508, -86.73952049)"
18-19,Middle School,545,Madison Middle,622,37115,,,,,,,,153,137,117,146,,,,,,3,316,163,,71,300,253,352,85,138,36.26389402,-86.71620849,"(36.26389402, -86.71620849)"
18-19,High School,550,Maplewood High,445,37216,,,,,,,,,,,,190,190,232,172,,11,569,145,1,58,402,382,497,144,130,36.23275198,-86.75033937,"(36.23275198, -86.75033937)"
18-19,Middle School,100,Margaret Allen Middle,450,37210,,,,,,,,92,120,123,101,,,,,2,12,190,153,,79,218,218,215,70,185,36.14606234,-86.72164617,"(36.14606234, -86.72164617)"
18-19,High School,497,Martin Luther King Jr School,456,37203,,,,,,,,,,138,153,257,238,238,238,1,142,533,87,2,497,601,661,142,23,24,36.16167564,-86.80047381,"(36.16167564, -86.80047381)"
18-19,Elementary School,682,May Werthan Shayne Elementary School,608,37211,9,18,156,121,162,127,167,,,,,,,,,1,71,216,70,5,397,392,368,226,82,179,36.02103117,-86.71463119,"(36.02103117, -86.71463119)"
18-19,Elementary School,530,McGavock Elementary,465,37214,,19,50,51,57,54,44,,,,,,,,,1,4,96,89,1,84,137,138,133,30,77,36.160559,-86.68103494,"(36.160559, -86.68103494)"
18-19,High School,532,McGavock High,470,37214,,,,,,,,,,,1,568,598,570,539,6,58,914,411,5,882,1141,1135,869,314,190,36.18544319,-86.67784935,"(36.18544319, -86.67784935)"
18-19,Middle School,540,McMurray Middle,480,37211,,,,,,,,198,208,205,199,,,,,2,86,134,500,,88,433,377,435,74,576,36.05637961,-86.7236925,"(36.05637961, -86.7236925)"
18-19,Middle School,555,Meigs Middle,330,37206,,,,,,,,171,175,165,170,,,,,,71,183,48,,379,322,359,56,24,27,36.17636399,-86.76088019,"(36.17636399, -86.76088019)"
18-19,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,,,,,,,,,12,135,21,24,66,96,1,30,102,36,,185,124,230,62,13,18,36.15012141,-86.84538306,"(36.15012141, -86.84538306)"
18-19,High School,562,Middle College High,437,37209,,,,,,,,,,,,59,,41,24,,2,57,13,,52,51,73,23,8,8,36.13469914,-86.85711693,"(36.13469914, -86.85711693)"
18-19,Middle School,535,Moses McKissack Middle,35,37209,,,,,,,,74,86,76,75,,,,,,,272,26,1,12,145,166,248,71,23,36.15989894,-86.83194158,"(36.15989894, -86.83194158)"
18-19,Elementary School,576,Mt. View Elementary,493,37013,4,51,126,124,130,145,111,,,,,,,,,1,28,266,187,2,207,334,357,247,68,219,36.04185906,-86.60459768,"(36.04185906, -86.60459768)"
18-19,Special Education,585,Murrell School,505,37210,,,,2,4,6,9,8,11,6,4,,,,,,,42,2,,6,42,8,39,49,2,36.13754885,-86.79002142,"(36.13754885, -86.79002142)"
