blue,red
7.6,1.9
5.6,2.6
14,3.4
6.8,0.8
18.5,5.3
7.2,1.5
19.5,4.5
10.5,2.6
5.27,1.16
6,1.3
8,2
7.5,2
23,6.7
5.8,1.44
11,2
9,2
6,1
6,1
9.5,1.5
8,2
25.6,4.1
19,4.5
9,3.4
6.8,1.1
