Airport Name,Minutes of Delay per Flight,Carrier Name,Date,Minutes of Delay,Number of Flights,Ontime Category
Baltimore/Washington International,136,A. Eagle,1/1/2013,1141,8.39,Delayed by Carrier
Baltimore/Washington International,54,A. Eagle,2/1/2013,188,3.51,Delayed by Carrier
Baltimore/Washington International,42,A. Eagle,3/1/2013,405,9.59,Delayed by Carrier
Baltimore/Washington International,37,A. Eagle,4/1/2013,277,7.47,Delayed by Carrier
Baltimore/Washington International,60,A. Eagle,5/1/2013,1115,18.7,Delayed by Carrier
Baltimore/Washington International,53,A. Eagle,6/1/2013,646,12.11,Delayed by Carrier
Baltimore/Washington International,52,A. Eagle,7/1/2013,1028,19.76,Delayed by Carrier
Baltimore/Washington International,38,A. Eagle,8/1/2013,552,14.52,Delayed by Carrier
Baltimore/Washington International,29,A. Eagle,9/1/2013,96,3.36,Delayed by Carrier
Baltimore/Washington International,74,A. Eagle,10/1/2013,333,4.48,Delayed by Carrier
Baltimore/Washington International,26,A. Eagle,11/1/2013,71,2.74,Delayed by Carrier
Charlotte Douglas International,47,A. Eagle,1/1/2013,1218,25.83,Delayed by Carrier
Charlotte Douglas International,53,A. Eagle,2/1/2013,1237,23.23,Delayed by Carrier
Charlotte Douglas International,64,A. Eagle,3/1/2013,1989,30.96,Delayed by Carrier
Charlotte Douglas International,62,A. Eagle,4/1/2013,2046,32.87,Delayed by Carrier
Charlotte Douglas International,62,A. Eagle,5/1/2013,1924,30.81,Delayed by Carrier
Charlotte Douglas International,72,A. Eagle,6/1/2013,3419,47.61,Delayed by Carrier
Charlotte Douglas International,55,A. Eagle,7/1/2013,2856,52,Delayed by Carrier
Charlotte Douglas International,50,A. Eagle,8/1/2013,1767,35.65,Delayed by Carrier
Charlotte Douglas International,43,A. Eagle,9/1/2013,1161,27.02,Delayed by Carrier
Charlotte Douglas International,38,A. Eagle,10/1/2013,787,20.49,Delayed by Carrier
Charlotte Douglas International,30,A. Eagle,11/1/2013,282,9.31,Delayed by Carrier
Chicago O'Hare International,159,A. Eagle,1/1/2013,36837,231.21,Delayed by Carrier
Chicago O'Hare International,147,A. Eagle,2/1/2013,34195,232.83,Delayed by Carrier
Chicago O'Hare International,136,A. Eagle,3/1/2013,26824,197.3,Delayed by Carrier
Chicago O'Hare International,157,A. Eagle,4/1/2013,40395,257.11,Delayed by Carrier
Chicago O'Hare International,127,A. Eagle,5/1/2013,34710,272.85,Delayed by Carrier
Chicago O'Hare International,135,A. Eagle,6/1/2013,49306,365.65,Delayed by Carrier
Chicago O'Hare International,112,A. Eagle,7/1/2013,35312,314.01,Delayed by Carrier
Chicago O'Hare International,93,A. Eagle,8/1/2013,23846,257.58,Delayed by Carrier
Chicago O'Hare International,94,A. Eagle,9/1/2013,17572,186.42,Delayed by Carrier
Chicago O'Hare International,106,A. Eagle,10/1/2013,18362,173.98,Delayed by Carrier
Chicago O'Hare International,120,A. Eagle,11/1/2013,20083,167.1,Delayed by Carrier
Dallas/Fort Worth International,148,A. Eagle,1/1/2013,29325,197.69,Delayed by Carrier
Dallas/Fort Worth International,126,A. Eagle,2/1/2013,21831,173.82,Delayed by Carrier
Dallas/Fort Worth International,134,A. Eagle,3/1/2013,22375,166.63,Delayed by Carrier
Dallas/Fort Worth International,152,A. Eagle,4/1/2013,36833,241.81,Delayed by Carrier
Dallas/Fort Worth International,118,A. Eagle,5/1/2013,29265,248.01,Delayed by Carrier
Dallas/Fort Worth International,119,A. Eagle,6/1/2013,30406,254.69,Delayed by Carrier
Dallas/Fort Worth International,123,A. Eagle,7/1/2013,40136,327.02,Delayed by Carrier
Dallas/Fort Worth International,98,A. Eagle,8/1/2013,24947,255.3,Delayed by Carrier
Dallas/Fort Worth International,105,A. Eagle,9/1/2013,18905,180.37,Delayed by Carrier
Dallas/Fort Worth International,113,A. Eagle,10/1/2013,24332,214.88,Delayed by Carrier
Dallas/Fort Worth International,89,A. Eagle,11/1/2013,18895,211.79,Delayed by Carrier
Denver International,65,A. Eagle,1/1/2013,1249,19.08,Delayed by Carrier
Denver International,63,A. Eagle,2/1/2013,1374,21.98,Delayed by Carrier
Denver International,59,A. Eagle,3/1/2013,1260,21.2,Delayed by Carrier
Denver International,73,A. Eagle,4/1/2013,1666,22.83,Delayed by Carrier
Denver International,52,A. Eagle,5/1/2013,1105,21.38,Delayed by Carrier
Denver International,101,A. Eagle,6/1/2013,2860,28.44,Delayed by Carrier
Denver International,75,A. Eagle,7/1/2013,2279,30.58,Delayed by Carrier
Denver International,57,A. Eagle,8/1/2013,1310,22.96,Delayed by Carrier
Denver International,52,A. Eagle,9/1/2013,713,13.59,Delayed by Carrier
Denver International,38,A. Eagle,10/1/2013,431,11.4,Delayed by Carrier
Denver International,52,A. Eagle,11/1/2013,207,3.95,Delayed by Carrier
Detroit Metro Wayne County,57,A. Eagle,1/1/2013,1324,23.34,Delayed by Carrier
Detroit Metro Wayne County,57,A. Eagle,2/1/2013,1070,18.83,Delayed by Carrier
Detroit Metro Wayne County,59,A. Eagle,3/1/2013,690,11.66,Delayed by Carrier
Detroit Metro Wayne County,62,A. Eagle,4/1/2013,1151,18.5,Delayed by Carrier
Detroit Metro Wayne County,70,A. Eagle,5/1/2013,1343,19.25,Delayed by Carrier
Detroit Metro Wayne County,62,A. Eagle,6/1/2013,2000,32.07,Delayed by Carrier
Detroit Metro Wayne County,62,A. Eagle,7/1/2013,3884,63.13,Delayed by Carrier
Detroit Metro Wayne County,52,A. Eagle,8/1/2013,1702,32.62,Delayed by Carrier
Detroit Metro Wayne County,46,A. Eagle,9/1/2013,826,18.02,Delayed by Carrier
Detroit Metro Wayne County,37,A. Eagle,10/1/2013,753,20.15,Delayed by Carrier
Detroit Metro Wayne County,36,A. Eagle,11/1/2013,417,11.59,Delayed by Carrier
George Bush Intercontinental,64,A. Eagle,1/1/2013,1051,16.47,Delayed by Carrier
George Bush Intercontinental,75,A. Eagle,2/1/2013,639,8.54,Delayed by Carrier
George Bush Intercontinental,42,A. Eagle,3/1/2013,917,22.06,Delayed by Carrier
George Bush Intercontinental,55,A. Eagle,4/1/2013,793,14.54,Delayed by Carrier
George Bush Intercontinental,67,A. Eagle,5/1/2013,2254,33.58,Delayed by Carrier
George Bush Intercontinental,102,A. Eagle,6/1/2013,1803,17.73,Delayed by Carrier
George Bush Intercontinental,60,A. Eagle,7/1/2013,2035,33.84,Delayed by Carrier
George Bush Intercontinental,43,A. Eagle,8/1/2013,909,21.01,Delayed by Carrier
George Bush Intercontinental,48,A. Eagle,9/1/2013,846,17.48,Delayed by Carrier
George Bush Intercontinental,45,A. Eagle,10/1/2013,742,16.34,Delayed by Carrier
George Bush Intercontinental,46,A. Eagle,11/1/2013,368,7.97,Delayed by Carrier
Hartsfield-Jackson Atlanta,50,A. Eagle,1/1/2013,2287,45.29,Delayed by Carrier
Hartsfield-Jackson Atlanta,60,A. Eagle,2/1/2013,2510,41.84,Delayed by Carrier
Hartsfield-Jackson Atlanta,57,A. Eagle,3/1/2013,2439,43.09,Delayed by Carrier
Hartsfield-Jackson Atlanta,69,A. Eagle,4/1/2013,2878,41.76,Delayed by Carrier
Hartsfield-Jackson Atlanta,55,A. Eagle,5/1/2013,2999,54.53,Delayed by Carrier
Hartsfield-Jackson Atlanta,65,A. Eagle,6/1/2013,3296,50.77,Delayed by Carrier
Hartsfield-Jackson Atlanta,62,A. Eagle,7/1/2013,4934,79.24,Delayed by Carrier
Hartsfield-Jackson Atlanta,59,A. Eagle,8/1/2013,2750,46.56,Delayed by Carrier
Hartsfield-Jackson Atlanta,53,A. Eagle,9/1/2013,2183,40.93,Delayed by Carrier
Hartsfield-Jackson Atlanta,45,A. Eagle,10/1/2013,1402,31.26,Delayed by Carrier
Hartsfield-Jackson Atlanta,37,A. Eagle,11/1/2013,632,17.05,Delayed by Carrier
John F. Kennedy International,97,A. Eagle,1/1/2013,1993,20.64,Delayed by Carrier
John F. Kennedy International,74,A. Eagle,2/1/2013,1452,19.68,Delayed by Carrier
John F. Kennedy International,114,A. Eagle,3/1/2013,2336,20.43,Delayed by Carrier
John F. Kennedy International,97,A. Eagle,4/1/2013,2941,30.17,Delayed by Carrier
John F. Kennedy International,105,A. Eagle,5/1/2013,2256,21.5,Delayed by Carrier
John F. Kennedy International,127,A. Eagle,6/1/2013,3260,25.57,Delayed by Carrier
John F. Kennedy International,83,A. Eagle,7/1/2013,2233,26.85,Delayed by Carrier
John F. Kennedy International,88,A. Eagle,8/1/2013,1503,17.17,Delayed by Carrier
John F. Kennedy International,85,A. Eagle,9/1/2013,1624,19.11,Delayed by Carrier
John F. Kennedy International,149,A. Eagle,10/1/2013,2711,18.21,Delayed by Carrier
John F. Kennedy International,94,A. Eagle,11/1/2013,1912,20.29,Delayed by Carrier
LaGuardia,159,A. Eagle,1/1/2013,8936,56.21,Delayed by Carrier
LaGuardia,145,A. Eagle,2/1/2013,7901,54.4,Delayed by Carrier
LaGuardia,161,A. Eagle,3/1/2013,6810,42.35,Delayed by Carrier
LaGuardia,141,A. Eagle,4/1/2013,8266,58.43,Delayed by Carrier
LaGuardia,90,A. Eagle,5/1/2013,5652,62.68,Delayed by Carrier
LaGuardia,150,A. Eagle,6/1/2013,8798,58.83,Delayed by Carrier
LaGuardia,123,A. Eagle,7/1/2013,7210,58.44,Delayed by Carrier
LaGuardia,100,A. Eagle,8/1/2013,4525,45.03,Delayed by Carrier
LaGuardia,109,A. Eagle,9/1/2013,4772,43.85,Delayed by Carrier
LaGuardia,114,A. Eagle,10/1/2013,4330,38.04,Delayed by Carrier
LaGuardia,100,A. Eagle,11/1/2013,3895,38.88,Delayed by Carrier
Los Angeles International,101,A. Eagle,1/1/2013,1735,17.2,Delayed by Carrier
Los Angeles International,104,A. Eagle,2/1/2013,2734,26.3,Delayed by Carrier
Los Angeles International,71,A. Eagle,3/1/2013,1406,19.85,Delayed by Carrier
Los Angeles International,108,A. Eagle,4/1/2013,3497,32.41,Delayed by Carrier
Los Angeles International,91,A. Eagle,5/1/2013,2002,21.99,Delayed by Carrier
Los Angeles International,112,A. Eagle,6/1/2013,4797,42.92,Delayed by Carrier
Los Angeles International,96,A. Eagle,7/1/2013,3536,36.99,Delayed by Carrier
Los Angeles International,101,A. Eagle,8/1/2013,3387,33.38,Delayed by Carrier
Los Angeles International,60,A. Eagle,9/1/2013,804,13.43,Delayed by Carrier
Los Angeles International,63,A. Eagle,10/1/2013,992,15.84,Delayed by Carrier
Los Angeles International,80,A. Eagle,11/1/2013,1557,19.43,Delayed by Carrier
Minneapolis-St Paul International,64,A. Eagle,1/1/2013,1298,20.23,Delayed by Carrier
Minneapolis-St Paul International,50,A. Eagle,2/1/2013,887,17.73,Delayed by Carrier
Minneapolis-St Paul International,54,A. Eagle,3/1/2013,1429,26.31,Delayed by Carrier
Minneapolis-St Paul International,68,A. Eagle,4/1/2013,1186,17.38,Delayed by Carrier
Minneapolis-St Paul International,55,A. Eagle,5/1/2013,929,16.84,Delayed by Carrier
Minneapolis-St Paul International,61,A. Eagle,6/1/2013,1220,20.15,Delayed by Carrier
Minneapolis-St Paul International,57,A. Eagle,7/1/2013,1974,34.37,Delayed by Carrier
Minneapolis-St Paul International,62,A. Eagle,8/1/2013,1294,20.99,Delayed by Carrier
Minneapolis-St Paul International,31,A. Eagle,9/1/2013,289,9.43,Delayed by Carrier
Minneapolis-St Paul International,28,A. Eagle,10/1/2013,194,6.95,Delayed by Carrier
Minneapolis-St Paul International,31,A. Eagle,11/1/2013,96,3.05,Delayed by Carrier
Newark Liberty International,49,A. Eagle,1/1/2013,687,14.16,Delayed by Carrier
Newark Liberty International,43,A. Eagle,2/1/2013,235,5.46,Delayed by Carrier
Newark Liberty International,63,A. Eagle,3/1/2013,1357,21.45,Delayed by Carrier
Newark Liberty International,54,A. Eagle,4/1/2013,597,11.15,Delayed by Carrier
Newark Liberty International,51,A. Eagle,5/1/2013,1274,25.1,Delayed by Carrier
Newark Liberty International,55,A. Eagle,6/1/2013,1636,29.95,Delayed by Carrier
Newark Liberty International,54,A. Eagle,7/1/2013,2012,37.57,Delayed by Carrier
Newark Liberty International,53,A. Eagle,8/1/2013,1492,28.27,Delayed by Carrier
Newark Liberty International,44,A. Eagle,9/1/2013,993,22.58,Delayed by Carrier
Newark Liberty International,48,A. Eagle,10/1/2013,230,4.84,Delayed by Carrier
Newark Liberty International,37,A. Eagle,11/1/2013,272,7.45,Delayed by Carrier
Salt Lake City International,67,A. Eagle,1/1/2013,492,7.37,Delayed by Carrier
Salt Lake City International,53,A. Eagle,2/1/2013,624,11.84,Delayed by Carrier
Salt Lake City International,56,A. Eagle,3/1/2013,771,13.87,Delayed by Carrier
Salt Lake City International,55,A. Eagle,4/1/2013,688,12.56,Delayed by Carrier
Salt Lake City International,41,A. Eagle,5/1/2013,262,6.37,Delayed by Carrier
Salt Lake City International,50,A. Eagle,6/1/2013,846,16.81,Delayed by Carrier
Salt Lake City International,79,A. Eagle,7/1/2013,1232,15.51,Delayed by Carrier
Salt Lake City International,58,A. Eagle,8/1/2013,472,8.12,Delayed by Carrier
Salt Lake City International,53,A. Eagle,9/1/2013,342,6.49,Delayed by Carrier
Salt Lake City International,27,A. Eagle,10/1/2013,104,3.82,Delayed by Carrier
Salt Lake City International,83,A. Eagle,11/1/2013,339,4.1,Delayed by Carrier
Baltimore/Washington International,41,AirTran,1/1/2013,820,20.14,Delayed by Carrier
Baltimore/Washington International,46,AirTran,2/1/2013,1099,23.72,Delayed by Carrier
Baltimore/Washington International,61,AirTran,3/1/2013,2077,34.09,Delayed by Carrier
Baltimore/Washington International,43,AirTran,4/1/2013,1730,40.1,Delayed by Carrier
Baltimore/Washington International,38,AirTran,5/1/2013,1584,41.65,Delayed by Carrier
Baltimore/Washington International,49,AirTran,6/1/2013,2422,49.08,Delayed by Carrier
Baltimore/Washington International,43,AirTran,7/1/2013,2657,61.96,Delayed by Carrier
Baltimore/Washington International,36,AirTran,8/1/2013,1272,35.53,Delayed by Carrier
Baltimore/Washington International,40,AirTran,9/1/2013,838,20.9,Delayed by Carrier
Baltimore/Washington International,39,AirTran,10/1/2013,1287,33.37,Delayed by Carrier
Baltimore/Washington International,59,AirTran,11/1/2013,1017,17.11,Delayed by Carrier
Charlotte Douglas International,53,AirTran,1/1/2013,278,5.23,Delayed by Carrier
Charlotte Douglas International,22,AirTran,2/1/2013,71,3.2,Delayed by Carrier
Charlotte Douglas International,29,AirTran,3/1/2013,287,9.97,Delayed by Carrier
Charlotte Douglas International,18,AirTran,4/1/2013,63,3.47,Delayed by Carrier
Denver International,36,AirTran,1/1/2013,111,3.11,Delayed by Carrier
Denver International,37,AirTran,2/1/2013,216,5.77,Delayed by Carrier
Denver International,51,AirTran,3/1/2013,258,5.01,Delayed by Carrier
Denver International,24,AirTran,4/1/2013,110,4.5,Delayed by Carrier
Denver International,41,AirTran,5/1/2013,155,3.8,Delayed by Carrier
Denver International,57,AirTran,6/1/2013,943,16.42,Delayed by Carrier
Denver International,66,AirTran,7/1/2013,1160,17.51,Delayed by Carrier
Denver International,28,AirTran,8/1/2013,227,7.99,Delayed by Carrier
Denver International,15,AirTran,9/1/2013,19,1.25,Delayed by Carrier
Denver International,27,AirTran,10/1/2013,106,3.94,Delayed by Carrier
Denver International,25,AirTran,11/1/2013,75,3,Delayed by Carrier
Detroit Metro Wayne County,50,AirTran,1/1/2013,259,5.13,Delayed by Carrier
Detroit Metro Wayne County,64,AirTran,2/1/2013,370,5.77,Delayed by Carrier
Detroit Metro Wayne County,40,AirTran,3/1/2013,430,10.67,Delayed by Carrier
Detroit Metro Wayne County,49,AirTran,4/1/2013,215,4.36,Delayed by Carrier
Detroit Metro Wayne County,39,AirTran,5/1/2013,491,12.57,Delayed by Carrier
Detroit Metro Wayne County,39,AirTran,6/1/2013,525,13.45,Delayed by Carrier
Detroit Metro Wayne County,47,AirTran,7/1/2013,324,6.92,Delayed by Carrier
Detroit Metro Wayne County,30,AirTran,8/1/2013,202,6.69,Delayed by Carrier
Detroit Metro Wayne County,42,AirTran,9/1/2013,303,7.25,Delayed by Carrier
Detroit Metro Wayne County,44,AirTran,10/1/2013,178,4.05,Delayed by Carrier
Detroit Metro Wayne County,44,AirTran,11/1/2013,227,5.18,Delayed by Carrier
Hartsfield-Jackson Atlanta,54,AirTran,1/1/2013,3537,65.44,Delayed by Carrier
Hartsfield-Jackson Atlanta,61,AirTran,2/1/2013,4942,80.68,Delayed by Carrier
Hartsfield-Jackson Atlanta,51,AirTran,3/1/2013,5932,116.4,Delayed by Carrier
Hartsfield-Jackson Atlanta,49,AirTran,4/1/2013,6311,128.08,Delayed by Carrier
Hartsfield-Jackson Atlanta,46,AirTran,5/1/2013,6129,134.59,Delayed by Carrier
Hartsfield-Jackson Atlanta,57,AirTran,6/1/2013,12392,218.13,Delayed by Carrier
Hartsfield-Jackson Atlanta,60,AirTran,7/1/2013,11825,196.03,Delayed by Carrier
Hartsfield-Jackson Atlanta,48,AirTran,8/1/2013,6500,134.32,Delayed by Carrier
Hartsfield-Jackson Atlanta,48,AirTran,9/1/2013,5570,115.18,Delayed by Carrier
Hartsfield-Jackson Atlanta,51,AirTran,10/1/2013,6206,121.33,Delayed by Carrier
Hartsfield-Jackson Atlanta,58,AirTran,11/1/2013,6538,113.56,Delayed by Carrier
LaGuardia,33,AirTran,1/1/2013,51,1.53,Delayed by Carrier
LaGuardia,45,AirTran,2/1/2013,386,8.51,Delayed by Carrier
LaGuardia,44,AirTran,3/1/2013,439,10.04,Delayed by Carrier
LaGuardia,34,AirTran,4/1/2013,350,10.18,Delayed by Carrier
LaGuardia,63,AirTran,5/1/2013,891,14.19,Delayed by Carrier
LaGuardia,49,AirTran,6/1/2013,938,19.25,Delayed by Carrier
LaGuardia,43,AirTran,7/1/2013,552,12.85,Delayed by Carrier
LaGuardia,58,AirTran,8/1/2013,1392,23.98,Delayed by Carrier
LaGuardia,27,AirTran,9/1/2013,410,15.14,Delayed by Carrier
LaGuardia,30,AirTran,10/1/2013,593,20.01,Delayed by Carrier
LaGuardia,46,AirTran,11/1/2013,691,15.18,Delayed by Carrier
Logan International,71,AirTran,1/1/2013,274,3.87,Delayed by Carrier
Logan International,32,AirTran,2/1/2013,155,4.78,Delayed by Carrier
Logan International,46,AirTran,3/1/2013,676,14.64,Delayed by Carrier
Logan International,41,AirTran,4/1/2013,812,19.64,Delayed by Carrier
Logan International,48,AirTran,5/1/2013,1175,24.55,Delayed by Carrier
Logan International,34,AirTran,6/1/2013,1061,31.38,Delayed by Carrier
Logan International,43,AirTran,7/1/2013,1189,27.94,Delayed by Carrier
Logan International,36,AirTran,8/1/2013,810,22.72,Delayed by Carrier
Logan International,35,AirTran,9/1/2013,628,17.86,Delayed by Carrier
Logan International,38,AirTran,10/1/2013,719,18.97,Delayed by Carrier
Logan International,37,AirTran,11/1/2013,743,20.24,Delayed by Carrier
Los Angeles International,39,AirTran,1/1/2013,435,11.2,Delayed by Carrier
Los Angeles International,32,AirTran,2/1/2013,176,5.44,Delayed by Carrier
Los Angeles International,38,AirTran,3/1/2013,108,2.82,Delayed by Carrier
Los Angeles International,52,AirTran,4/1/2013,281,5.43,Delayed by Carrier
Los Angeles International,32,AirTran,5/1/2013,235,7.4,Delayed by Carrier
Los Angeles International,39,AirTran,6/1/2013,643,16.31,Delayed by Carrier
Los Angeles International,40,AirTran,7/1/2013,666,16.8,Delayed by Carrier
Los Angeles International,28,AirTran,8/1/2013,444,15.87,Delayed by Carrier
Los Angeles International,37,AirTran,9/1/2013,686,18.43,Delayed by Carrier
Los Angeles International,26,AirTran,10/1/2013,666,25.33,Delayed by Carrier
Los Angeles International,24,AirTran,11/1/2013,64,2.65,Delayed by Carrier
McCarran International,44,AirTran,1/1/2013,263,5.94,Delayed by Carrier
McCarran International,31,AirTran,2/1/2013,157,5.09,Delayed by Carrier
McCarran International,39,AirTran,3/1/2013,446,11.46,Delayed by Carrier
McCarran International,45,AirTran,4/1/2013,177,3.97,Delayed by Carrier
McCarran International,47,AirTran,5/1/2013,619,13.17,Delayed by Carrier
McCarran International,63,AirTran,6/1/2013,2442,38.63,Delayed by Carrier
McCarran International,58,AirTran,7/1/2013,1474,25.52,Delayed by Carrier
McCarran International,40,AirTran,8/1/2013,524,12.95,Delayed by Carrier
McCarran International,42,AirTran,9/1/2013,797,18.89,Delayed by Carrier
McCarran International,36,AirTran,10/1/2013,884,24.81,Delayed by Carrier
McCarran International,54,AirTran,11/1/2013,193,3.55,Delayed by Carrier
Minneapolis-St Paul International,24,AirTran,1/1/2013,111,4.72,Delayed by Carrier
Minneapolis-St Paul International,27,AirTran,2/1/2013,136,5,Delayed by Carrier
Minneapolis-St Paul International,31,AirTran,3/1/2013,174,5.54,Delayed by Carrier
Minneapolis-St Paul International,52,AirTran,4/1/2013,537,10.35,Delayed by Carrier
Minneapolis-St Paul International,41,AirTran,5/1/2013,205,4.96,Delayed by Carrier
Minneapolis-St Paul International,54,AirTran,6/1/2013,898,16.66,Delayed by Carrier
Minneapolis-St Paul International,49,AirTran,7/1/2013,1049,21.26,Delayed by Carrier
Minneapolis-St Paul International,32,AirTran,8/1/2013,707,22.14,Delayed by Carrier
Minneapolis-St Paul International,41,AirTran,9/1/2013,645,15.8,Delayed by Carrier
Minneapolis-St Paul International,32,AirTran,10/1/2013,681,21.53,Delayed by Carrier
Minneapolis-St Paul International,35,AirTran,11/1/2013,243,6.87,Delayed by Carrier
Orlando International,70,AirTran,1/1/2013,1099,15.71,Delayed by Carrier
Orlando International,49,AirTran,2/1/2013,1687,34.42,Delayed by Carrier
Orlando International,66,AirTran,3/1/2013,4119,62.1,Delayed by Carrier
Orlando International,67,AirTran,4/1/2013,3914,58.83,Delayed by Carrier
Orlando International,69,AirTran,5/1/2013,4302,62.79,Delayed by Carrier
Orlando International,54,AirTran,6/1/2013,6816,125.43,Delayed by Carrier
Orlando International,63,AirTran,7/1/2013,6564,104.58,Delayed by Carrier
Orlando International,50,AirTran,8/1/2013,2739,54.44,Delayed by Carrier
Orlando International,76,AirTran,9/1/2013,2411,31.89,Delayed by Carrier
Orlando International,50,AirTran,10/1/2013,2250,45.2,Delayed by Carrier
Orlando International,39,AirTran,11/1/2013,1151,29.8,Delayed by Carrier
Phoenix Sky Harbor International,30,AirTran,1/1/2013,13,0.43,Delayed by Carrier
San Francisco International,,AirTran,1/1/2013,0,0,Delayed by Carrier
San Francisco International,21,AirTran,2/1/2013,28,1.31,Delayed by Carrier
San Francisco International,21,AirTran,3/1/2013,58,2.75,Delayed by Carrier
San Francisco International,36,AirTran,4/1/2013,93,2.57,Delayed by Carrier
San Francisco International,21,AirTran,5/1/2013,31,1.45,Delayed by Carrier
San Francisco International,37,AirTran,6/1/2013,400,10.69,Delayed by Carrier
San Francisco International,50,AirTran,7/1/2013,694,13.83,Delayed by Carrier
San Francisco International,33,AirTran,8/1/2013,563,17.04,Delayed by Carrier
San Francisco International,38,AirTran,9/1/2013,348,9.1,Delayed by Carrier
San Francisco International,31,AirTran,10/1/2013,269,8.65,Delayed by Carrier
San Francisco International,21,AirTran,11/1/2013,21,1,Delayed by Carrier
Chicago O'Hare International,51,Alaska,1/1/2013,127,2.51,Delayed by Carrier
Chicago O'Hare International,62,Alaska,2/1/2013,119,1.92,Delayed by Carrier
Chicago O'Hare International,35,Alaska,3/1/2013,176,4.96,Delayed by Carrier
Chicago O'Hare International,52,Alaska,4/1/2013,347,6.7,Delayed by Carrier
Chicago O'Hare International,23,Alaska,5/1/2013,58,2.52,Delayed by Carrier
Chicago O'Hare International,45,Alaska,6/1/2013,120,2.64,Delayed by Carrier
Chicago O'Hare International,43,Alaska,7/1/2013,129,2.97,Delayed by Carrier
Chicago O'Hare International,57,Alaska,8/1/2013,257,4.54,Delayed by Carrier
Chicago O'Hare International,34,Alaska,9/1/2013,230,6.84,Delayed by Carrier
Chicago O'Hare International,40,Alaska,10/1/2013,200,5.01,Delayed by Carrier
Chicago O'Hare International,18,Alaska,11/1/2013,26,1.42,Delayed by Carrier
Dallas/Fort Worth International,61,Alaska,1/1/2013,206,3.39,Delayed by Carrier
Dallas/Fort Worth International,,Alaska,2/1/2013,0,0,Delayed by Carrier
Dallas/Fort Worth International,18,Alaska,3/1/2013,18,1,Delayed by Carrier
Dallas/Fort Worth International,22,Alaska,4/1/2013,50,2.29,Delayed by Carrier
Dallas/Fort Worth International,23,Alaska,5/1/2013,45,2,Delayed by Carrier
Dallas/Fort Worth International,50,Alaska,6/1/2013,100,2,Delayed by Carrier
Dallas/Fort Worth International,56,Alaska,7/1/2013,227,4.09,Delayed by Carrier
Dallas/Fort Worth International,32,Alaska,8/1/2013,64,2,Delayed by Carrier
Dallas/Fort Worth International,42,Alaska,9/1/2013,69,1.64,Delayed by Carrier
Dallas/Fort Worth International,30,Alaska,10/1/2013,94,3.1,Delayed by Carrier
Dallas/Fort Worth International,26,Alaska,11/1/2013,81,3.12,Delayed by Carrier
Denver International,49,Alaska,1/1/2013,134,2.72,Delayed by Carrier
Denver International,79,Alaska,2/1/2013,157,2,Delayed by Carrier
Denver International,26,Alaska,3/1/2013,79,3,Delayed by Carrier
Denver International,37,Alaska,4/1/2013,182,4.91,Delayed by Carrier
Denver International,40,Alaska,5/1/2013,142,3.56,Delayed by Carrier
Denver International,32,Alaska,6/1/2013,190,6,Delayed by Carrier
Denver International,42,Alaska,7/1/2013,179,4.3,Delayed by Carrier
Denver International,25,Alaska,8/1/2013,44,1.75,Delayed by Carrier
Denver International,27,Alaska,9/1/2013,115,4.2,Delayed by Carrier
Denver International,28,Alaska,10/1/2013,78,2.82,Delayed by Carrier
Denver International,58,Alaska,11/1/2013,138,2.37,Delayed by Carrier
George Bush Intercontinental,45,Alaska,1/1/2013,102,2.26,Delayed by Carrier
George Bush Intercontinental,48,Alaska,2/1/2013,44,0.92,Delayed by Carrier
George Bush Intercontinental,,Alaska,3/1/2013,0,0,Delayed by Carrier
George Bush Intercontinental,91,Alaska,4/1/2013,107,1.17,Delayed by Carrier
George Bush Intercontinental,,Alaska,5/1/2013,0,0,Delayed by Carrier
George Bush Intercontinental,73,Alaska,6/1/2013,146,2,Delayed by Carrier
George Bush Intercontinental,75,Alaska,7/1/2013,199,2.64,Delayed by Carrier
George Bush Intercontinental,111,Alaska,8/1/2013,429,3.87,Delayed by Carrier
George Bush Intercontinental,29,Alaska,9/1/2013,11,0.38,Delayed by Carrier
George Bush Intercontinental,28,Alaska,10/1/2013,17,0.61,Delayed by Carrier
George Bush Intercontinental,23,Alaska,11/1/2013,14,0.61,Delayed by Carrier
Hartsfield-Jackson Atlanta,48,Alaska,1/1/2013,106,2.19,Delayed by Carrier
Hartsfield-Jackson Atlanta,28,Alaska,2/1/2013,108,3.83,Delayed by Carrier
Hartsfield-Jackson Atlanta,,Alaska,3/1/2013,0,0,Delayed by Carrier
Hartsfield-Jackson Atlanta,113,Alaska,4/1/2013,218,1.93,Delayed by Carrier
Hartsfield-Jackson Atlanta,48,Alaska,5/1/2013,96,2,Delayed by Carrier
Hartsfield-Jackson Atlanta,35,Alaska,6/1/2013,117,3.34,Delayed by Carrier
Hartsfield-Jackson Atlanta,133,Alaska,7/1/2013,260,1.96,Delayed by Carrier
Hartsfield-Jackson Atlanta,37,Alaska,8/1/2013,95,2.56,Delayed by Carrier
Hartsfield-Jackson Atlanta,40,Alaska,9/1/2013,158,3.98,Delayed by Carrier
Hartsfield-Jackson Atlanta,28,Alaska,10/1/2013,82,2.95,Delayed by Carrier
Hartsfield-Jackson Atlanta,178,Alaska,11/1/2013,355,2,Delayed by Carrier
Logan International,27,Alaska,1/1/2013,77,2.9,Delayed by Carrier
Logan International,,Alaska,2/1/2013,0,0,Delayed by Carrier
