id,conceptdoi
11005599,10.5281/zenodo.11005598
11005601,10.5281/zenodo.11005600
11005603,10.5281/zenodo.11005602
11005605,10.5281/zenodo.11005604
11005608,10.5281/zenodo.11005607
11005610,10.5281/zenodo.11005609
11005612,10.5281/zenodo.11005611
11005614,10.5281/zenodo.11005613
11005618,10.5281/zenodo.11005617
11005620,10.5281/zenodo.11005619
11005622,10.5281/zenodo.11005621
11005624,10.5281/zenodo.11005623
11005626,10.5281/zenodo.11005625
11005628,10.5281/zenodo.11005627
11005630,10.5281/zenodo.11005629
11005632,10.5281/zenodo.11005631
11005634,10.5281/zenodo.11005633
11005636,10.5281/zenodo.11005635
11005638,10.5281/zenodo.11005637
11005640,10.5281/zenodo.11005639
11005642,10.5281/zenodo.11005641
11005644,10.5281/zenodo.11005643
11005646,10.5281/zenodo.11005645
11005648,10.5281/zenodo.11005647
11005650,10.5281/zenodo.11005649
11005652,10.5281/zenodo.11005651
11005654,10.5281/zenodo.11005653
11005656,10.5281/zenodo.11005655
11005658,10.5281/zenodo.11005657
11005662,10.5281/zenodo.11005661
11005664,10.5281/zenodo.11005663
11005666,10.5281/zenodo.11005665
11005668,10.5281/zenodo.11005667
11005670,10.5281/zenodo.11005669
11005672,10.5281/zenodo.11005671
11005674,10.5281/zenodo.11005673
11005676,10.5281/zenodo.11005675
11005678,10.5281/zenodo.11005677
11005680,10.5281/zenodo.11005679
11005682,10.5281/zenodo.11005681
11005684,10.5281/zenodo.11005683
11005686,10.5281/zenodo.11005685
11005688,10.5281/zenodo.11005687
11005692,10.5281/zenodo.11005691
11005694,10.5281/zenodo.11005693
11005696,10.5281/zenodo.11005695
11005698,10.5281/zenodo.11005697
11005700,10.5281/zenodo.11005699
11005702,10.5281/zenodo.11005701
11005704,10.5281/zenodo.11005703
11005706,10.5281/zenodo.11005705
11005708,10.5281/zenodo.11005707
11005710,10.5281/zenodo.11005709
11005712,10.5281/zenodo.11005711
11005714,10.5281/zenodo.11005713
11005716,10.5281/zenodo.11005715
11005718,10.5281/zenodo.11005717
11005720,10.5281/zenodo.11005719
11005722,10.5281/zenodo.11005721
11005725,10.5281/zenodo.11005724
11005727,10.5281/zenodo.11005726
11005729,10.5281/zenodo.11005728
11005731,10.5281/zenodo.11005730
11005733,10.5281/zenodo.11005732
11005735,10.5281/zenodo.11005734
11005737,10.5281/zenodo.11005736
11005739,10.5281/zenodo.11005738
11005741,10.5281/zenodo.11005740
11005743,10.5281/zenodo.11005742
11005745,10.5281/zenodo.11005744
11005747,10.5281/zenodo.11005746
11005749,10.5281/zenodo.11005748
11005751,10.5281/zenodo.11005750
11005753,10.5281/zenodo.11005752
11005755,10.5281/zenodo.11005754
11005757,10.5281/zenodo.11005756
11005759,10.5281/zenodo.11005758
11005761,10.5281/zenodo.11005760
11005763,10.5281/zenodo.11005762
11005765,10.5281/zenodo.11005764
11005767,10.5281/zenodo.11005766
11005769,10.5281/zenodo.11005768
11005771,10.5281/zenodo.11005770
11005775,10.5281/zenodo.11005774
11005779,10.5281/zenodo.11005778
11005781,10.5281/zenodo.11005780
11005783,10.5281/zenodo.11005782
11005785,10.5281/zenodo.11005784
11005787,10.5281/zenodo.11005786
11005789,10.5281/zenodo.11005788
11005791,10.5281/zenodo.11005790
11005793,10.5281/zenodo.11005792
11005795,10.5281/zenodo.11005794
11005797,10.5281/zenodo.11005796
11005799,10.5281/zenodo.11005798
11005801,10.5281/zenodo.11005800
11005803,10.5281/zenodo.11005802
11005805,10.5281/zenodo.11005804
11005807,10.5281/zenodo.11005806
11005809,10.5281/zenodo.11005808
11005813,10.5281/zenodo.11005812
11005815,10.5281/zenodo.11005814
11005817,10.5281/zenodo.11005816
11005819,10.5281/zenodo.11005818
11005821,10.5281/zenodo.11005820
11005823,10.5281/zenodo.11005822
11005825,10.5281/zenodo.11005824
11005827,10.5281/zenodo.11005826
11005829,10.5281/zenodo.11005828
11005831,10.5281/zenodo.11005830
11005833,10.5281/zenodo.11005832
11005835,10.5281/zenodo.11005834
11005837,10.5281/zenodo.11005836
11005839,10.5281/zenodo.11005838
11005841,10.5281/zenodo.11005840
11005843,10.5281/zenodo.11005842
11005845,10.5281/zenodo.11005844
11005847,10.5281/zenodo.11005846
11005851,10.5281/zenodo.11005850
11005853,10.5281/zenodo.11005852
11005855,10.5281/zenodo.11005854
11005857,10.5281/zenodo.11005856
11005859,10.5281/zenodo.11005858
11005861,10.5281/zenodo.11005860
11005863,10.5281/zenodo.11005862
11005865,10.5281/zenodo.11005864
11005867,10.5281/zenodo.11005866
11005869,10.5281/zenodo.11005868
11005873,10.5281/zenodo.11005872
11005875,10.5281/zenodo.11005874
11005877,10.5281/zenodo.11005876
11005881,10.5281/zenodo.11005880
11005883,10.5281/zenodo.11005882
11005885,10.5281/zenodo.11005884
11005887,10.5281/zenodo.11005886
11005889,10.5281/zenodo.11005888
11005891,10.5281/zenodo.11005890
11005895,10.5281/zenodo.11005894
11005897,10.5281/zenodo.11005896
11005901,10.5281/zenodo.11005900
11005905,10.5281/zenodo.11005904
11005907,10.5281/zenodo.11005906
11005909,10.5281/zenodo.11005908
11005913,10.5281/zenodo.11005912
11005915,10.5281/zenodo.11005914
11005917,10.5281/zenodo.11005916
11005919,10.5281/zenodo.11005918
11005921,10.5281/zenodo.11005920
11005923,10.5281/zenodo.11005922
11005925,10.5281/zenodo.11005924
11005927,10.5281/zenodo.11005926
11005929,10.5281/zenodo.11005928
11005931,10.5281/zenodo.11005930
11005933,10.5281/zenodo.11005932
11005935,10.5281/zenodo.11005934
11005937,10.5281/zenodo.11005936
11005939,10.5281/zenodo.11005938
11005941,10.5281/zenodo.11005940
11005943,10.5281/zenodo.11005942
11005945,10.5281/zenodo.11005944
11005947,10.5281/zenodo.11005946
11005949,10.5281/zenodo.11005948
11005953,10.5281/zenodo.11005952
11005957,10.5281/zenodo.11005956
11005959,10.5281/zenodo.11005958
11005961,10.5281/zenodo.11005960
11005963,10.5281/zenodo.11005962
11005965,10.5281/zenodo.11005964
11005967,10.5281/zenodo.11005966
11005969,10.5281/zenodo.11005968
11005971,10.5281/zenodo.11005970
11005973,10.5281/zenodo.11005972
11005977,10.5281/zenodo.11005976
11005979,10.5281/zenodo.11005978
11005981,10.5281/zenodo.11005980
11005983,10.5281/zenodo.11005982
11005985,10.5281/zenodo.11005984
11005987,10.5281/zenodo.11005986
11005989,10.5281/zenodo.11005988
11005991,10.5281/zenodo.11005990
11005993,10.5281/zenodo.11005992
11005995,10.5281/zenodo.11005994
11005997,10.5281/zenodo.11005996
11006001,10.5281/zenodo.11006000
11006003,10.5281/zenodo.11006002
11006005,10.5281/zenodo.11006004
11006007,10.5281/zenodo.11006006
11006009,10.5281/zenodo.11006008
11006011,10.5281/zenodo.11006010
11006013,10.5281/zenodo.11006012
11006015,10.5281/zenodo.11006014
11006017,10.5281/zenodo.11006016
11006019,10.5281/zenodo.11006018
