seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
6.19824,119.452,-0.39003,9.14776,3.26142,0.13992,-0.0103477,0.149517
6.25781,119.526,-0.105284,9.45404,2.93839,0.0156092,0.328682,0.279325
6.31543,119.632,-0.440279,9.7005,2.93121,0.268202,1.53942,0.172729
6.37305,119.632,2.48136,7.56371,2.85703,0.395873,0.733686,-0.319322
6.43262,119.547,-1.02413,9.13819,2.12722,0.493306,0.73674,-0.602153
6.49219,119.568,-1.91665,10.1073,1.73001,0.516213,2.06568,-0.855968
6.625,119.727,-2.26361,9.17169,1.38066,-0.41108,0.12221,0.371871
6.68555,119.663,-1.8664,8.45384,2.18943,-0.661535,0.278591,0.569792
6.74316,119.61,-1.47398,9.533,2.51007,-0.841434,-0.271187,0.478162
6.80273,119.6,-0.535992,8.49213,3.78305,-0.656342,0.33082,0.265886
6.8623,119.642,0.0,11.5167,2.92881,-0.215909,1.128,-0.186459
6.93066,119.621,-0.87338,8.62134,2.54118,-0.0674684,0.0421867,-0.371551
7.03418,119.706,-1.95015,7.98964,3.98166,-0.035398,-1.06653,-0.350782
7.25684,119.695,-1.68215,8.43948,5.01536,-0.411385,-0.96513,0.158374
7.31738,119.706,-0.440279,9.18605,3.88834,-0.550663,-1.66213,0.18739
7.37598,119.653,-0.193819,8.87019,4.80239,-0.648096,-0.165202,0.173646
7.43457,119.515,-0.308674,8.19063,4.95314,-0.593729,0.790802,0.084765
7.49414,119.621,-1.81137,8.65005,4.05344,-0.243092,0.750179,0.180365
7.55371,119.864,-2.18225,8.83191,5.76909,0.311879,0.838449,0.435096
7.61133,119.505,-2.03629,9.20519,5.61117,0.460624,1.02476,0.472053
7.6709,119.505,-0.952343,8.74098,5.1015,0.572413,0.829286,0.191666
7.80469,119.632,-1.59841,8.48495,4.02473,0.175045,0.208037,-0.448215
7.86426,119.78,-2.33061,9.02573,3.2351,0.254152,0.219643,-0.39507
7.92285,119.695,-3.29013,9.21955,3.36192,0.307908,-0.156955,-0.0954402
7.98242,119.399,-1.92144,8.93719,3.50788,0.0718088,-0.423598,0.223431
8.04199,119.42,-1.99561,9.05684,3.10828,0.0876913,-0.376561,-0.104298
8.10156,119.441,-2.45025,9.49951,3.02692,0.280114,-0.123358,-0.114988
8.15918,119.536,-3.13699,9.65025,3.61555,-0.0063819,-0.162453,0.157458
8.38379,119.695,1.00499,7.803,4.40758,-0.103815,-0.127939,0.0899573
8.50684,119.536,0.349352,8.26242,4.54876,-0.0442555,0.045241,-0.535568
8.56543,119.758,-0.892523,8.71706,4.67079,-0.154822,-0.307839,-0.605207
8.625,119.695,-3.02692,10.0546,3.73998,0.288971,0.26729,-0.412785
8.68457,119.801,-1.33759,8.77448,4.23051,0.595015,0.0467682,0.433264
8.74414,119.854,-0.392423,9.15255,3.17767,0.270034,-0.554323,0.55788
8.80371,119.684,-0.311067,9.07359,2.87857,-0.0405903,0.179326,0.187085
8.93848,119.801,-0.68674,9.31526,3.51745,-0.20247,0.0162249,0.349575
8.99902,119.727,-0.861416,9.24348,3.91466,-0.235151,0.126486,0.374009
9.05859,119.515,-0.748954,9.31765,3.93859,-0.336249,0.0537931,0.473581
9.11816,119.653,-0.356531,9.35594,4.38365,-0.351215,0.0146977,0.475108
9.17773,119.558,-0.136391,9.59044,4.79761,-0.341747,0.120988,0.4803
9.2373,119.61,0.57667,9.12622,5.54417,-0.381453,-0.225678,0.566432
9.2959,119.494,1.3663,8.39163,5.49871,-0.291656,-0.0127912,0.661422
9.35547,119.462,1.94297,8.41077,4.94836,-0.218963,0.0223336,0.520923
9.58496,119.547,0.619741,9.56172,5.42931,0.120067,0.319825,-0.477231
9.64551,119.642,-0.0215354,10.3992,5.42692,0.105406,0.0641778,-0.290001
9.70313,119.558,1.42612,10.0068,5.73081,-0.172843,-0.345102,-0.180045
9.82129,119.854,1.2658,8.66681,5.37906,-0.00760363,-0.204297,-0.249378
9.88086,119.896,0.930808,7.53979,5.31207,0.0898293,-0.0824298,-0.255181
9.94043,120.097,0.00717847,7.05883,4.87897,0.406563,0.243161,-0.2506
10.0,120.054,-0.0526421,7.2024,3.95534,0.479256,0.190321,0.0105449
10.1279,119.843,0.825524,5.79063,3.79741,0.519878,0.172301,0.408523
10.1885,119.748,0.569492,5.8672,3.6682,0.316766,-0.112362,0.355378
10.2471,119.684,1.75873,7.535,3.83569,0.107544,-0.17803,0.355378
