seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
6.23047,82.5024,0.153141,10.27,-0.667598,0.102658,-1.33073,-0.474177
6.29102,82.2275,0.277568,10.6241,-0.588634,0.0812772,-2.03995,-0.371551
6.34863,82.143,-0.68674,9.71965,0.040678,0.117318,-2.37775,-0.398429
6.4082,82.1007,-0.136391,8.75055,2.199,0.147861,-2.0766,-0.743568
6.46777,82.2698,-0.502493,9.90868,0.710669,-0.180173,-3.64469,-0.672097
6.52734,82.1641,-0.342174,12.6509,-0.969093,0.0861642,-3.23174,-0.950041
6.58594,82.2381,-0.468993,12.5216,1.65344,0.396484,-2.66303,-1.20111
6.71387,82.5975,-0.574277,8.4347,1.00259,1.16068,-2.63554,-1.18034
6.77441,82.365,-2.95274,8.8367,3.33799,1.70801,-2.41441,-1.40636
6.83398,82.7032,0.579063,9.22912,6.3697,1.83813,-1.03813,-1.29029
6.89355,82.6926,-1.2993,5.82174,2.27557,0.807596,-0.737583,-0.251211
6.98828,82.9357,-0.658026,8.01596,0.66999,0.864406,-0.567151,-0.16569
7.05664,83.3479,-1.17727,8.90369,1.87358,0.389764,0.42978,0.21549
7.11523,83.6755,-2.7685,11.8875,0.380459,-0.0873215,-0.116333,0.499542
7.1748,83.8235,-3.01017,9.4349,-1.52901,-0.225988,-0.0381421,0.444564
7.39258,84.6902,-8.04706,19.7384,-2.46221,0.171685,0.559284,0.165399
7.45313,84.9438,-0.547956,9.79143,-0.0143569,-0.175897,-0.387557,0.155625
7.51074,84.9861,-1.62951,9.71725,-0.272782,-0.058,0.0718137,0.273522
7.57031,84.9332,-9.59044,9.80818,-0.751346,0.0543992,0.084031,0.417076
7.62988,85.2292,-2.62253,8.25763,-0.567099,0.0916619,-0.379005,0.394474
7.68945,85.3983,-2.1679,9.32962,0.842274,0.0110278,0.247743,0.296735
7.74902,85.652,-1.70608,8.06142,-0.815953,-0.0470044,0.267901,0.419519
7.87598,86.2755,-0.78006,9.57608,-0.366102,0.0611187,-0.620296,0.381034
7.93555,86.265,-1.43569,8.88216,-0.48335,0.174129,-0.416878,0.26497
7.99414,86.6137,-0.370888,11.7655,-1.04806,0.416031,-0.102283,0.123249
8.05371,86.4869,-0.308674,9.84168,-0.00239282,-0.145354,-0.433983,0.0322306
8.11328,86.4446,-0.820738,9.32244,-0.162712,-0.0537239,0.0534877,-0.166911
8.17285,86.1698,-0.571885,9.72683,-0.323031,-0.0305111,0.193987,-0.0636752
8.2627,86.2332,-2.02194,9.46601,0.485743,0.00919515,0.2172,-0.300691
8.47754,89.6259,-0.949951,8.8367,-0.368495,0.0330189,0.319214,0.0658281
8.53809,89.9218,-0.748954,8.69552,-0.332602,0.0653948,-1.37288,-0.0679513
8.59766,90.4186,-0.543171,7.98724,-0.308674,-0.00913081,-1.17618,0.0548326
8.65723,90.334,-1.01216,10.2317,-0.22014,-0.0292893,-0.253166,-0.0050322
8.7168,90.8625,-1.65823,12.2728,0.29671,-0.0347871,0.0693702,0.242979
8.77637,91.2007,-1.80897,7.69292,0.346959,-0.191779,-0.715591,0.126304
8.83594,91.2113,-0.411566,9.2698,0.681955,-0.0983171,0.456658,0.195332
8.96484,91.1584,1.92862,9.61915,-2.30907,0.234604,-0.391222,0.139132
9.02539,91.2113,-1.64387,9.48754,3.1992,0.213224,-0.0283682,0.0456696
9.08496,91.3064,-1.72283,10.7318,0.311067,0.095938,0.2172,0.00229819
9.14453,91.4015,-0.887737,7.99442,-1.22513,-0.0873215,-0.830434,0.0511674
9.2041,91.3593,-0.555135,7.81735,0.358923,-0.0628869,-0.21346,0.106756
9.26367,91.391,-0.157926,8.61416,0.378066,-0.067163,-0.608079,-0.0496254
9.32129,91.4227,-0.284746,9.35115,-0.344566,-0.140467,0.454215,0.00779597
9.53516,91.2324,0.689133,10.4518,0.567099,0.20345,-0.667944,0.112254
9.59668,91.3275,-0.167498,10.5069,0.100499,3.21865e-05,0.524465,-0.107047
9.70801,91.1796,0.512064,9.51865,-0.42353,0.0666165,0.694896,0.0291762
9.76758,91.2747,0.200997,10.9591,-0.418744,-0.0427284,0.59899,0.0285654
9.82715,91.2747,1.91665,6.3003,-0.713061,0.0690599,1.18909,0.0945388
9.88672,91.3593,0.887737,8.74337,-1.07198,0.0299646,0.752928,-0.001367
9.94629,91.1373,-0.866202,9.72683,0.617348,0.0195799,-0.223234,-0.0306885
10.0732,90.9999,-0.122034,9.77229,-0.0215354,0.0354624,0.0785332,0.0157372
10.1338,91.169,-0.0622134,9.82014,0.270389,0.0715034,0.201317,-0.0221364
10.1934,91.0105,0.0311067,9.76032,0.502493,0.0586752,0.0724245,-0.0294668
10.2529,91.1796,0.409173,9.69093,-0.413958,0.0153038,0.0669267,-0.00564307
10.3125,91.095,0.375673,9.64068,0.124427,0.0403493,0.821956,0.0285654
10.3809,91.1056,-0.595813,9.64547,-0.114856,-0.00974166,0.047379,-0.0135843
10.4395,91.1267,1.31605,9.33201,-1.02891,0.00308652,-0.378394,0.0475022
10.6543,91.2113,-0.928415,9.17169,0.205783,-0.0311219,-0.0906765,0.0291762
10.7139,91.1584,-0.346959,9.4014,-0.0478565,-0.0152394,-0.162148,-0.0233582
10.7725,91.2324,-0.040678,10.2197,-0.229711,-0.00424387,-0.13588,-0.0367972
10.832,91.1162,-0.382852,10.337,-0.0454636,0.00614083,0.0137815,-0.0807795
10.9785,91.021,0.241675,10.9926,1.08873,0.00064306,-0.174976,-0.0367972
11.0391,91.2007,0.658026,10.0618,0.0143569,0.00614083,-0.185971,-0.00625393
11.0977,91.2219,0.564706,10.6959,2.47657,0.0146929,-0.264162,-0.0477927
11.2285,91.3381,0.698704,9.52343,-1.00499,0.0146929,0.0571529,-0.0484036
11.2891,91.1796,-0.5336,9.54976,1.38066,-0.00302213,0.0113381,0.00779597
11.3477,91.2853,0.667598,9.58804,-0.732204,-0.0121851,-0.535997,-0.0258016
11.4072,91.169,-0.0622134,9.64068,0.0741775,0.00797343,-0.0815135,0.00962856
11.4668,90.9471,0.681955,9.64547,0.308674,0.018969,0.236136,0.0108503
11.5264,91.1902,0.57667,9.734,-0.29671,0.00369738,-0.106559,-0.00930825
11.5859,90.9153,0.291924,9.59522,0.42353,0.00858429,0.0088945,-0.00747564
11.8086,91.1902,0.770489,11.9019,0.842274,-0.00546561,-0.0644093,-0.0141952
11.8691,91.1373,0.440279,9.66222,0.411566,0.0165255,-0.1426,-0.0276342
11.9277,90.9259,1.17727,9.3679,-1.04327,-0.00607647,-0.0308117,-0.0343537
11.9873,91.0105,0.641276,11.2367,-1.52184,0.0165255,-0.0558572,-0.0349646
12.0469,91.0105,-0.473779,7.49671,-0.131605,0.0104169,0.177493,-0.014806
12.1064,91.095,0.394816,10.0977,-0.29671,-0.0134069,-0.115722,-0.0532906
12.1641,90.9999,-0.081356,9.78186,-0.619741,0.0165255,0.00706196,-0.0221364
12.3809,91.3698,-0.138784,9.69811,0.0909272,-0.00180042,-0.0210379,0.00657424
12.4404,91.2219,-0.212961,9.69093,-0.0717847,0.0128604,0.370527,0.0114612
12.498,91.1796,-0.131605,9.66461,0.672383,0.0104169,-0.0234813,0.0126829
